NETBIOS_NAME;DISK_NAME;DISK_TYPE;DISK_SIZE;DISK_FREE;DISK_EDID
PROKUSHEVSV;A:\;Removable;0;0;GetDeviceInfo.exe=1.01b 17.05.2011
PROKUSHEVSV;C:\;Fixed;232;128;GetDeviceInfo.exe=1.01b 17.05.2011
PROKUSHEVSV;D:\;CD-ROM;0;0;GetDeviceInfo.exe=1.01b 17.05.2011
PROKUSHEVSV;G:\;Network;321;75;GetDeviceInfo.exe=1.01b 17.05.2011
PROKUSHEVSV;H:\;Network;321;75;GetDeviceInfo.exe=1.01b 17.05.2011
PROKUSHEVSV;J:\;Network;200;65;GetDeviceInfo.exe=1.01b 17.05.2011
PROKUSHEVSV;L:\;Network;19;10;GetDeviceInfo.exe=1.01b 17.05.2011
PROKUSHEVSV;S:\;Network;30;17;GetDeviceInfo.exe=1.01b 17.05.2011
PROKUSHEVSV;U:\;Network;200;65;GetDeviceInfo.exe=1.01b 17.05.2011
PROKUSHEVSV;Y:\;Network;195;23;GetDeviceInfo.exe=1.01b 17.05.2011
PROKUSHEVSV;Z:\;Network;200;65;GetDeviceInfo.exe=1.01b 17.05.2011
